"Date","Price","Open","High","Low","Vol.","Resultado",
"04/13/2026","14.71","14.73","14.75","14.47","38.51M","13.88",
"04/10/2026","14.81","14.85","14.95","14.65","51.56M","15.13",
"04/09/2026","14.74","14.55","14.84","14.49","30.78M","14.38",
"04/08/2026","14.48","14.62","14.65","14.40","33.46M","14.61",
