"Date","Price","Open","High","Low","Vol.","Resultado",
"04/13/2026","87.00","86.00","87.69","85.48","4.47M","86.62",
"04/10/2026","86.62","85.30","86.70","84.60","3.55M","85.50",
"04/09/2026","85.35","85.26","86.50","84.43","4.87M","85.82",
"04/08/2026","85.19","87.39","87.39","83.62","8.17M","81.93",
